Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE S2U no Firebase,,,,2023-07-21 16:37:10,2023-07-21 16:44:35,7m - 25.415s,PASSED
,,,,,,,
Test Cases/Mobile TC/MAE UAT Onboarding new app,,,,2023-07-21 16:37:10,2023-07-21 16:40:04,2m - 53.194s,PASSED
"startApplication(""/Users/APK/uat_latest_withoutFirebase.apk"", false)",,,,2023-07-21 16:37:11,2023-07-21 16:37:30,18.472s,PASSED
delay(10),,,,2023-07-21 16:37:30,2023-07-21 16:37:40,10.101s,PASSED
takeScreenshot(),,,,2023-07-21 16:37:40,2023-07-21 16:37:41,1.328s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Next""), 0)",,,,2023-07-21 16:37:41,2023-07-21 16:37:42,0.683s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Next""), 0)",,,,2023-07-21 16:37:42,2023-07-21 16:37:42,0.400s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Next""), 0)",,,,2023-07-21 16:37:42,2023-07-21 16:37:43,0.844s,PASSED
takeScreenshot(),,,,2023-07-21 16:37:43,2023-07-21 16:37:44,1.040s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Next""), 0)",,,,2023-07-21 16:37:44,2023-07-21 16:37:45,0.356s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Next""), 0)",,,,2023-07-21 16:37:45,2023-07-21 16:37:45,0.836s,PASSED
"getText(findTestObject(""SPY MAE without firebase/spy 2/Got It""), 0)",,,,2023-07-21 16:37:45,2023-07-21 16:37:46,0.769s,PASSED
"tap(findTestObject(""SPY MAE without firebase/spy 2/Got It""), 0)",,,,2023-07-21 16:37:46,2023-07-21 16:37:46,0.318s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Agree""), 0)",,,,2023-07-21 16:37:46,2023-07-21 16:37:47,0.781s,PASSED
takeScreenshot(),,,,2023-07-21 16:37:47,2023-07-21 16:37:48,0.599s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Agree""), 0)",,,,2023-07-21 16:37:48,2023-07-21 16:37:48,0.267s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Log In Now""), 0)",,,,2023-07-21 16:37:48,2023-07-21 16:37:51,2.622s,PASSED
takeScreenshot(),,,,2023-07-21 16:37:51,2023-07-21 16:37:51,0.695s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Log In Now""), 0)",,,,2023-07-21 16:37:51,2023-07-21 16:37:52,0.481s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-07-21 16:37:52,2023-07-21 16:37:54,1.685s,PASSED
takeScreenshot(),,,,2023-07-21 16:37:54,2023-07-21 16:37:54,0.845s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-07-21 16:37:54,2023-07-21 16:37:55,0.351s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Please enter your username""), 0)",,,,2023-07-21 16:37:55,2023-07-21 16:37:56,1.303s,PASSED
delay(5),,,,2023-07-21 16:37:56,2023-07-21 16:38:01,5.010s,PASSED
"tap(findTestObject(""SPY MAE without firebase/spy3/userid EditText""), 0, CONTINUE_ON_FAILURE)",,,,2023-07-21 16:38:01,2023-07-21 16:38:03,1.439s,PASSED
"setText(findTestObject(""SPY MAE without firebase/spy3/userid EditText""), ""samuat05"", 0)",,,,2023-07-21 16:38:03,2023-07-21 16:38:04,1.018s,PASSED
hideKeyboard(),,,,2023-07-21 16:38:04,2023-07-21 16:38:05,1.532s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Continue""), 0)",,,,2023-07-21 16:38:05,2023-07-21 16:38:05,0.339s,PASSED
takeScreenshot(),,,,2023-07-21 16:38:05,2023-07-21 16:38:06,0.484s,PASSED
hideKeyboard(),,,,2023-07-21 16:38:06,2023-07-21 16:38:07,0.607s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Continue""), 0)",,,,2023-07-21 16:38:07,2023-07-21 16:38:07,0.245s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-07-21 16:38:07,2023-07-21 16:38:08,1.586s,PASSED
takeScreenshot(),,,,2023-07-21 16:38:08,2023-07-21 16:38:09,0.489s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-07-21 16:38:09,2023-07-21 16:38:09,0.322s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Enter your password""), 0)",,,,2023-07-21 16:38:09,2023-07-21 16:38:10,1.309s,PASSED
"setText(findTestObject(""Object Repository/MAE UAT new app/android.widget.EditText (1)""), ""Maybank@1"", 0)",,,,2023-07-21 16:38:10,2023-07-21 16:38:11,0.943s,PASSED
hideKeyboard(),,,,2023-07-21 16:38:11,2023-07-21 16:38:13,1.472s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Continue (1)""), 0)",,,,2023-07-21 16:38:13,2023-07-21 16:38:13,0.231s,PASSED
takeScreenshot(),,,,2023-07-21 16:38:13,2023-07-21 16:38:14,0.462s,PASSED
"tap(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Continue (1)""), 0)",,,,2023-07-21 16:38:14,2023-07-21 16:38:14,0.311s,PASSED
"if (verifyElementText(findTestObject(""SPY MAE without firebase/Proceed""), ""Proceed"", OPTIONAL) == true)",,,,2023-07-21 16:38:14,2023-07-21 16:38:54,40.125s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Create your PIN for the app""), 0)",,,,2023-07-21 16:38:54,2023-07-21 16:38:54,0.321s,PASSED
delay(3),,,,2023-07-21 16:38:54,2023-07-21 16:38:57,3.005s,PASSED
takeScreenshot(),,,,2023-07-21 16:38:57,2023-07-21 16:38:58,0.507s,PASSED
"tap(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:38:58,2023-07-21 16:38:58,0.357s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:38:58,2023-07-21 16:39:00,1.727s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:00,2023-07-21 16:39:02,1.746s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:02,2023-07-21 16:39:02,0.525s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:02,2023-07-21 16:39:03,1.166s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:03,2023-07-21 16:39:05,1.702s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:05,2023-07-21 16:39:07,1.721s,PASSED
"tap(findTestObject(""Object Repository/MAE UAT new app/android.widget.ImageView""), 0)",,,,2023-07-21 16:39:07,2023-07-21 16:39:09,1.756s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Confirm your 6-digit PIN""), 0)",,,,2023-07-21 16:39:09,2023-07-21 16:39:10,1.103s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:10,2023-07-21 16:39:10,0.475s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:10,2023-07-21 16:39:10,0.279s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:10,2023-07-21 16:39:12,1.711s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:12,2023-07-21 16:39:14,1.730s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:14,2023-07-21 16:39:16,1.717s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:16,2023-07-21 16:39:17,1.682s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - 1""), 0)",,,,2023-07-21 16:39:17,2023-07-21 16:39:19,1.736s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.ImageView""), 0)",,,,2023-07-21 16:39:19,2023-07-21 16:39:21,1.721s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Set Up Later""), 0)",,,,2023-07-21 16:39:21,2023-07-21 16:39:22,1.677s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:22,2023-07-21 16:39:23,0.486s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Set Up Later""), 0)",,,,2023-07-21 16:39:23,2023-07-21 16:39:23,0.307s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.TextView - Yes, Proceed""), 0)",,,,2023-07-21 16:39:23,2023-07-21 16:39:24,1.084s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:24,2023-07-21 16:39:25,0.482s,PASSED
"tap(findTestObject(""MAE UAT new app/android.widget.TextView - Yes, Proceed""), 0)",,,,2023-07-21 16:39:25,2023-07-21 16:39:25,0.216s,PASSED
"OTP = getText(findTestObject(""Object Repository/Login Onboarding/Your OTP no. is 2""), 0)",,,,2023-07-21 16:39:25,2023-07-21 16:39:27,2.128s,PASSED
delay(2),,,,2023-07-21 16:39:27,2023-07-21 16:39:29,2.007s,PASSED
"for ([i = 16, i <= 21, (i++)])",,,,2023-07-21 16:39:29,2023-07-21 16:39:40,11.067s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:40,2023-07-21 16:39:41,0.464s,PASSED
delay(3),,,,2023-07-21 16:39:41,2023-07-21 16:39:44,3.005s,PASSED
"tap(findTestObject(""Object Repository/Dynamic Object/Tap Image Following 2"", [""text"":""0""]), 0)",,Tick button,,2023-07-21 16:39:44,2023-07-21 16:39:44,0.565s,PASSED
delay(3),,,,2023-07-21 16:39:44,2023-07-21 16:39:47,3.006s,PASSED
takeScreenshot(),,,,2023-07-21 16:39:47,2023-07-21 16:39:48,0.515s,PASSED
"getText(findTestObject(""Object Repository/MAE UAT new app/android.widget.EditText - Enter your name""), 0)",,,,2023-07-21 16:39:48,2023-07-21 16:39:48,0.212s,PASSED
"setText(findTestObject(""MAE UAT new app/android.widget.EditText - Enter your name""), ""Mosaj"", 0)",,,,2023-07-21 16:39:48,2023-07-21 16:39:49,1.274s,PASSED
hideKeyboard(),,,,2023-07-21 16:39:49,2023-07-21 16:39:50,0.654s,PASSED
