Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login only,Chrome 116.0.0.0,,,2023-08-30 10:37:10,2023-08-30 10:38:33,1m - 23.336s,PASSED
,,,,,,,
Test Cases/Web Login/m2u home page,Chrome 116.0.0.0,,,2023-08-30 10:37:10,2023-08-30 10:38:33,1m - 22.654s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-30 10:37:11,2023-08-30 10:37:18,6.554s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-30 10:37:18,2023-08-30 10:37:19,0.537s,PASSED
"navigateToUrl(""https://www.maybank2u.com.my/home/m2u/common/login.do"")",Chrome 116.0.0.0,,,2023-08-30 10:37:19,2023-08-30 10:37:25,6.717s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Humanising Financial Services_username""), findTestData(""DevOps"").getValue(1, 2))",Chrome 116.0.0.0,,,2023-08-30 10:37:25,2023-08-30 10:37:31,5.786s,PASSED
delay(10),Chrome 116.0.0.0,,,2023-08-30 10:37:31,2023-08-30 10:37:41,10.081s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_LOGIN""))",Chrome 116.0.0.0,,,2023-08-30 10:37:41,2023-08-30 10:37:42,0.519s,PASSED
delay(10),Chrome 116.0.0.0,,,2023-08-30 10:37:42,2023-08-30 10:37:52,10.007s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_YES""))",Chrome 116.0.0.0,,,2023-08-30 10:37:52,2023-08-30 10:37:52,0.508s,PASSED
delay(10),Chrome 116.0.0.0,,,2023-08-30 10:37:52,2023-08-30 10:38:02,10.008s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Hello_my-password-input""), ""Mayesha@19"")",Chrome 116.0.0.0,,,2023-08-30 10:38:02,2023-08-30 10:38:03,0.860s,PASSED
delay(30),Chrome 116.0.0.0,,,2023-08-30 10:38:03,2023-08-30 10:38:33,30.010s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-30 10:38:33,2023-08-30 10:38:33,0.005s,NOT_RUN
