Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
board_m2u_transfe,Chrome 116.0.0.0,,,2023-08-30 11:01:49,2023-08-30 11:05:44,3m - 54.338s,PASSED
,,,,,,,
Test Cases/Web Login/Transfer_OpenThirdParty,Chrome 116.0.0.0,,,2023-08-30 11:01:52,2023-08-30 11:05:44,3m - 51.938s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-30 11:01:55,2023-08-30 11:02:06,10.992s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-30 11:02:06,2023-08-30 11:02:06,0.701s,PASSED
"navigateToUrl(""https://www.maybank2u.com.my/home/m2u/common/login.do"")",Chrome 116.0.0.0,,,2023-08-30 11:02:06,2023-08-30 11:03:07,1m - 0.928s,PASSED
getPageHeight(),Chrome 116.0.0.0,,,2023-08-30 11:03:07,2023-08-30 11:03:08,0.418s,PASSED
getPageWidth(),Chrome 116.0.0.0,,,2023-08-30 11:03:08,2023-08-30 11:03:08,0.261s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Humanising Financial Services_username""), findTestData(""DevOps"").getValue(1, 1))",Chrome 116.0.0.0,,,2023-08-30 11:03:08,2023-08-30 11:03:22,14.383s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_LOGIN""))",Chrome 116.0.0.0,,,2023-08-30 11:03:22,2023-08-30 11:03:26,3.049s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_YES""))",Chrome 116.0.0.0,,,2023-08-30 11:03:26,2023-08-30 11:03:28,2.296s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Hello_my-password-input""), ""Mayesha@19"")",Chrome 116.0.0.0,,,2023-08-30 11:03:28,2023-08-30 11:03:32,4.463s,PASSED
delay(5),Chrome 116.0.0.0,,,2023-08-30 11:03:32,2023-08-30 11:03:37,5.142s,PASSED
