Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_MBI,Chrome 116.0.0.0,,,2023-09-08 11:42:35,2023-09-08 11:44:48,2m - 13.110s,FAILED
,,,,,,,
Test Cases/MBI web/M2U/login negative,Chrome 116.0.0.0,,,2023-09-08 11:42:36,2023-09-08 11:43:06,30.025s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-08 11:42:38,2023-09-08 11:42:48,9.925s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-08 11:42:48,2023-09-08 11:42:48,0.520s,PASSED
"navigateToUrl(""https://www.maybank2u.com.my/home/m2u/common/login.do"")",Chrome 116.0.0.0,,,2023-09-08 11:42:48,2023-09-08 11:42:57,8.223s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_LOGIN""))",Chrome 116.0.0.0,,,2023-09-08 11:42:57,2023-09-08 11:42:58,1.491s,PASSED
"a = getText(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_Input Username between 6 and 16 characters""))",Chrome 116.0.0.0,,,2023-09-08 11:42:58,2023-09-08 11:42:59,0.891s,PASSED
"verifyElementText(findTestObject(""MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_Input Username between 6 and 16 characters""), ""Input Username between 6 and 16 characters."")",Chrome 116.0.0.0,,,2023-09-08 11:42:59,2023-09-08 11:43:00,0.643s,PASSED
"verifyEqual(a, ""Input Username between 6 and 16 ch"")",Chrome 116.0.0.0,,,2023-09-08 11:43:00,2023-09-08 11:43:00,0.176s,FAILED
delay(2),Chrome 116.0.0.0,,,2023-09-08 11:43:00,2023-09-08 11:43:02,2.057s,PASSED
"setText(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/input_Humanising Financial Services_username""), ""rwerqrq"")",Chrome 116.0.0.0,,,2023-09-08 11:43:02,2023-09-08 11:43:03,1.407s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_LOGIN""))",Chrome 116.0.0.0,,,2023-09-08 11:43:03,2023-09-08 11:43:04,0.598s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/button_NOT ME""))",Chrome 116.0.0.0,,,2023-09-08 11:43:04,2023-09-08 11:43:06,2.200s,PASSED
,,,,,,,
Test Cases/MBI web/M2U/login postive,Chrome 116.0.0.0,,,2023-09-08 11:43:06,2023-09-08 11:44:48,1m - 41.811s,FAILED
"setText(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/input_Humanising Financial Services_username""), ""mosajgohar1"")",Chrome 116.0.0.0,,,2023-09-08 11:43:07,2023-09-08 11:43:08,1.036s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_LOGIN""))",Chrome 116.0.0.0,,,2023-09-08 11:43:08,2023-09-08 11:43:09,0.523s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/button_YES""))",Chrome 116.0.0.0,,,2023-09-08 11:43:09,2023-09-08 11:43:11,1.686s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/input_Hello_my-password-input""), ""Mayesha@19"")",Chrome 116.0.0.0,,,2023-09-08 11:43:11,2023-09-08 11:43:12,1.120s,FAILED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_LOGIN""))",Chrome 116.0.0.0,,,2023-09-08 11:43:12,2023-09-08 11:43:44,32.050s,PASSED
"click(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_LOGOUT""))",Chrome 116.0.0.0,,,2023-09-08 11:43:44,2023-09-08 11:44:21,37.353s,FAILED
"b = getText(findTestObject(""Object Repository/MBI M2U team/Page_Maybank2u  Maybank Malaysia/span_You do not have any activities for today""))",Chrome 116.0.0.0,,,2023-09-08 11:44:21,2023-09-08 11:44:48,26.762s,FAILED
"verifyEqual(""You do not have any activities for today."", b)",Chrome 116.0.0.0,,,2023-09-08 11:44:48,2023-09-08 11:44:48,0.033s,FAILED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-08 11:44:48,2023-09-08 11:44:48,0.006s,NOT_RUN
